article_name,price,odo,year,location,date,link
Nissan Sentra 1.8 B17 Fl Exclusive,80.900.000,19.050 Km,2020,Suba - Bogotá D.C.,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-888754002-nissan-sentra-exclusive-modelo-2020-de-placa-gjm613-_JM#position=13&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Sense,79.800.000,24.975 Km,2020,Suba - Bogotá D.C.,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-873911944-nissan-sentra-2020-18-b17-fl-sense-_JM#position=14&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Sr,78.900.000,23.800 Km,2020,Cúcuta - Norte De Santander,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-880837215-nissan-sentra-sr-automatico-2020-_JM#position=15&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Sr,78.900.000,22.728 Km,2020,Cúcuta - Norte De Santander,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-883934654-nissan-sentra-sr-automatico-2020-_JM#position=16&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Exclusive,77.800.000,32.915 Km,2020,Suba - Bogotá D.C.,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-878532458-nissan-sentra-2020-_JM#position=17&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 Sr,76.900.000,21.983 Km,2020,Cúcuta - Norte De Santander,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-876083709-nissan-sentra-18-sr-at-mod-2020-_JM#position=18&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Sr,75.000.000,13.400 Km,2020,Engativa - Bogotá D.C.,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-888095937-nissan-sentra-18-_JM#position=19&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Exclusive,74.000.000,60.000 Km,2019,Cali - Valle Del Cauca,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-886215059-nissan-sentra-exclusive-2019-_JM#position=20&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra Sr At 1800cc,73.000.000,26.519 Km,2020,Cali - Valle Del Cauca,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-870295319-nissan-sentra-sr-at-1800cc-_JM#position=21&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Sr,73.000.000,13.650 Km,2020,Antonio Nariño - Bogotá D.C.,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-886664406-nissan-sentra-sr-18-2020-_JM#position=22&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Sr,72.900.000,45.000 Km,2019,Medellín - Antioquia,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-892307426-nissan-sentra-2019-18-b17-fl-sr-_JM#position=23&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
Nissan Sentra 1.8 B17 Fl Exclusive,70.000.000,35.000 Km,2019,Suba - Bogotá D.C.,2022-05-12 11:23,https://carro.mercadolibre.com.co/MCO-884059413-nissan-sentra-automatico-_JM#position=24&search_layout=grid&type=item&tracking_id=ecab54ce-6442-4f87-8c80-e2f21fd60035
